路线,人数,餐椅状态,鞋柜门状态,房门状态,600实体命中,每侧再留10mm命中,操作重叠须错时,结论
入户至洗烘完整候选,6,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_0,chair6_0,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_0；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair6_0；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_1,chair6_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair6_1；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_2,chair6_2,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_2,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_2；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair6_2；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_3,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,6,单椅:chair6_3,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_4,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,6,单椅:chair6_4,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,单椅:chair6_5,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,dishwasher_operator；robot_approach；shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至洗烘完整候选,6,单椅:chair6_5,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,全部拉出,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_0；chair6_1；chair6_2,chair6_0；chair6_1；chair6_2,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至洗烘完整候选,6,全部拉出,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,chair6_0；chair6_1；chair6_2；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,chair6_0；chair6_1；chair6_2；shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,dishwasher_operator；robot_approach；shoe_operator,实体受阻
入户至家庭厅,4,正常,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,4,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,4,单椅:chair4_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,4,单椅:chair4_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,4,单椅:chair4_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,4,单椅:chair4_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,4,单椅:chair4_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,4,单椅:chair4_2,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,4,单椅:chair4_3,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,4,单椅:chair4_3,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,4,全部拉出,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,4,全部拉出,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,正常,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,单椅:chair6_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,单椅:chair6_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,单椅:chair6_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,单椅:chair6_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,单椅:chair6_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,单椅:chair6_2,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,单椅:chair6_3,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,单椅:chair6_3,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,单椅:chair6_4,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,单椅:chair6_4,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,单椅:chair6_5,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,单椅:chair6_5,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至家庭厅,6,全部拉出,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至家庭厅,6,全部拉出,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至主卧A,4,正常,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,4,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_2,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_3,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,4,单椅:chair4_3,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,4,全部拉出,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,4,全部拉出,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,正常,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_2,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_3,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_3,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_4,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_4,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_5,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,单椅:chair6_5,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至主卧A,6,全部拉出,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator；wardrobe_operator,概念扫掠可达；操作须错时；五金条件待核；A门五金定稿暂停
入户至主卧A,6,全部拉出,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator；wardrobe_operator,实体受阻；A门五金定稿暂停
入户至卧室B,4,正常,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,4,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,4,单椅:chair4_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,4,单椅:chair4_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,4,单椅:chair4_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,4,单椅:chair4_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,4,单椅:chair4_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,4,单椅:chair4_2,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,4,单椅:chair4_3,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,4,单椅:chair4_3,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,4,全部拉出,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,4,全部拉出,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,6,正常,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,6,正常,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,6,单椅:chair6_0,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,6,单椅:chair6_0,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,6,单椅:chair6_1,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
入户至卧室B,6,单椅:chair6_1,全开,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_leaf_0_0；shoe_leaf_0_1；shoe_leaf_1_0；shoe_leaf_1_1,shoe_operator,实体受阻
入户至卧室B,6,单椅:chair6_2,关闭,相关房门90°固定；含双侧50mm把手及门洞两端45mm门套假设,,,shoe_operator,概念扫掠可达；操作须错时；五金条件待核
